Image C=1,I=483
The max ELI is 47531.667969
   Line   grad    leng    kurv    eli
      1  1.610 272.985  0.2173  0.515
      2  1.443  54.143  0.1954  0.105
      3  1.577 409.335  0.1651  1.000
      4  1.598 164.659  0.1711  0.392
      5  2.595 105.657  0.2034  0.305
      6  1.579  69.064  0.4062  0.069
      7  0.624  11.480  0.5251  0.004
      8  0.402   0.000  0.0000  0.000
      9  0.496   3.640  0.0000  0.013
     10  0.527  15.990  0.1104  0.026
     11  1.019   3.202  0.0000  0.020
     13  1.439   0.000  0.0000  0.000
     14  0.627   0.000  0.0000  0.000
     15  0.917  29.859  0.1492  0.054
     16  1.055  31.224  0.1569  0.059
     17  0.471   0.000  0.0000  0.000
     18  1.303   3.289  0.0000  0.025
     20  0.829  61.863  0.2214  0.070
     21  1.434   2.833  0.0000  0.023
     22  0.456   6.811  0.1760  0.006
     23  0.603  15.632  0.1760  0.017
     24  1.788   0.000  0.0000  0.000
     25  1.230  41.939  0.3084  0.046
     27  1.000  11.757  0.4323  0.008
     28  0.378  10.829  0.0468  0.032
     29  1.445   7.159  0.1573  0.017
     30  0.757  71.452  0.1510  0.110
     32  0.500   6.737  0.0543  0.021
     33  0.492   0.000  0.0000  0.000
     35  0.400   0.000  0.0000  0.000
     37  1.448  45.120  0.2065  0.083
     38  0.459   0.000  0.0000  0.000
Image C=65,I=687
The max ELI is 14908.633789
   Line   grad    leng    kurv    eli
      1  0.861 101.758  0.2912  0.404
      2  1.128  54.350  0.2655  0.290
      3  0.921  43.881  0.2322  0.230
      4  1.117 109.781  0.3151  0.490
      5  1.545  45.655  0.3669  0.223
      6  0.475  20.573  0.3275  0.047
     10  1.000  63.712  0.4045  0.204
     11  1.492   9.105  0.2099  0.076
     13  1.000  16.807  0.5361  0.041
     14  0.677  13.608  0.3061  0.043
     15  1.281 139.923  0.2179  1.000
     16  1.052  35.421  0.2444  0.195
     17  1.588  13.888  0.3934  0.065
     18  1.456  31.675  0.6001  0.091
     21  0.889   0.000  0.0000  0.000
     22  0.554  36.274  0.4162  0.072
     23  1.534  34.355  0.5423  0.113
     24  0.828   8.449  0.2520  0.038
     25  0.478   7.915  0.1007  0.058
     26  0.682   9.910  0.7901  0.012
     28  0.735   9.981  0.2160  0.047
     29  0.687  26.052  0.6170  0.041
     30  1.004  83.318  0.3740  0.289
     31  0.551  22.362  0.2884  0.064
     32  1.283  21.215  0.3996  0.083
     33  0.735   9.155  0.1665  0.056
     34  0.855  13.570  0.1138  0.137
     35  1.349  21.149  0.3020  0.113
     36  0.634  29.025  0.2614  0.102
     37  0.437   3.606  0.0000  0.038
     39  1.163 116.317  0.3694  0.456
     40  0.767   5.000  0.0000  0.000
     41  1.212  23.372  0.4988  0.070
     42  0.474  16.932  0.2979  0.042
     43  1.091   9.353  0.2244  0.058
     44  1.369  91.341  0.3841  0.389
     45  1.285  19.972  0.3328  0.094
     46  1.092  48.148  0.3177  0.209
